source,file,run,size,activity,ns
gh,mgree.json,3,1331,writing,1500050
ncdc,ncdc_datasets.json,3,1625,reading,2590703
ncdc,ncdc_datasets.json,3,1625,loading,31483
ncdc,ncdc_datasets.json,3,1625,saving,42900
ncdc,ncdc_datasets.json,3,1625,writing,3321545
synthetic,list2.json,3,25,reading,957874
synthetic,list2.json,3,25,loading,60596
synthetic,list2.json,3,25,saving,28999
synthetic,list2.json,3,25,writing,324262
synthetic,object.json,3,77,reading,672130
synthetic,object.json,3,77,loading,33694
synthetic,object.json,3,77,saving,10927
synthetic,object.json,3,77,writing,293462
synthetic,object_null.json,3,95,reading,354493
synthetic,object_null.json,3,95,loading,29266
synthetic,object_null.json,3,95,saving,15955
synthetic,object_null.json,3,95,writing,353385
rv,human_male.json,3,603912,reading,803266174
rv,human_male.json,3,603912,loading,1187424
rv,human_male.json,3,603912,saving,5172290
rv,human_male.json,3,603912,writing,894675853
gh,mgree_repos.json,3,159905,reading,218181332
gh,mgree_repos.json,3,159905,loading,69507
gh,mgree_repos.json,3,159905,saving,799031
gh,mgree_repos.json,3,159905,writing,111486248
fda,recall.json,3,22475,reading,32603695
fda,recall.json,3,22475,loading,33621
fda,recall.json,3,22475,saving,144419
fda,recall.json,3,22475,writing,20425031
fda,tobacco100.json,3,63634,reading,85876463
fda,tobacco100.json,3,63634,loading,34952
fda,tobacco100.json,3,63634,saving,294206
fda,tobacco100.json,3,63634,writing,41723864
fda,recall10.json,3,212061,reading,278299006
fda,recall10.json,3,212061,loading,35602
fda,recall10.json,3,212061,saving,1084878
fda,recall10.json,3,212061,writing,214610283
gh,kmt.json,3,4979,reading,7250317
gh,kmt.json,3,4979,loading,78112
gh,kmt.json,3,4979,saving,76791
gh,kmt.json,3,4979,writing,4351442
rv,agni.json,3,89267,reading,125163207
rv,agni.json,3,89267,loading,379622
rv,agni.json,3,89267,saving,714349
rv,agni.json,3,89267,writing,129389840
fda,event.json,3,1819,reading,3452384
fda,event.json,3,1819,loading,31669
fda,event.json,3,1819,saving,32070
fda,event.json,3,1819,writing,2102993
rv,demons.json,3,194,reading,517775
rv,demons.json,3,194,loading,51169
rv,demons.json,3,194,saving,14850
rv,demons.json,3,194,writing,559744
gh,gh_licenses.json,3,2507,reading,3686216
gh,gh_licenses.json,3,2507,loading,74525
gh,gh_licenses.json,3,2507,saving,43199
gh,gh_licenses.json,3,2507,writing,3604357
json.org,json_eg4.json,3,3468,reading,5047708
json.org,json_eg4.json,3,3468,loading,40908
json.org,json_eg4.json,3,3468,saving,42938
json.org,json_eg4.json,3,3468,writing,3733968
ncdc,ncdc_07030_stations.json,3,1476,reading,2933533
ncdc,ncdc_07030_stations.json,3,1476,loading,31100
ncdc,ncdc_07030_stations.json,3,1476,saving,37264
ncdc,ncdc_07030_stations.json,3,1476,writing,2890587
json.org,json_eg3.json,3,602,reading,1825205
json.org,json_eg3.json,3,602,loading,30468
json.org,json_eg3.json,3,602,saving,18029
json.org,json_eg3.json,3,602,writing,991109
gh,ffs_issues.json,3,38158,reading,55031869
gh,ffs_issues.json,3,38158,loading,74108
gh,ffs_issues.json,3,38158,saving,250403
gh,ffs_issues.json,3,38158,writing,32104634
gh,gh_gpl3.json,3,36979,reading,51878829
gh,gh_gpl3.json,3,36979,loading,40506
gh,gh_gpl3.json,3,36979,saving,72689
